kood,kasRegistrivara,arveleVoetud,ads_oid,x,y,ehrKood,peamineKasutusTekst,seisundTekst,kasulikPind,energiamargis,margiseAeg,aadresstekst
KL41510H1,true,"2011-07-21",ME00776981,6473836.21,659464.89,"104045147","Kohtuhoone","kasutusel",9784.0,"E","2010-12-22","Tartu maakond, Tartu linn, Kalevi tn 1"
KL41541H1,true,"2011-07-27",ME00776981,6473836.21,659464.89,"104045147","Kohtuhoone","kasutusel",9784.0,"E","2010-12-22","Tartu maakond, Tartu linn, Kalevi tn 1"
KL41709H1,true,"2011-08-05",ME00776981,6473836.21,659464.89,"104045147","Kohtuhoone","kasutusel",9784.0,"E","2010-12-22","Tartu maakond, Tartu linn, Kalevi tn 1"
KL41964H1,true,"2011-12-09",ME00639036,6589176.85,543273.82,"101018922","Muu büroo- või administratiivhoone","kasutusel",2617.5,"F","2010-06-11","Harju maakond, Tallinn, Kesklinna linnaosa, Parda tn 3 // 5 // 7"
KL42573H1,true,"2011-10-04",EE01926115,6471227.28,669197.84,"104039299","Kutseõppeasutuse õppehoone","kasutusel",1000.2,"","","Tartu maakond, Mäksa vald, Kaagvere küla, Mõisakoha/5"
KL42573H2,true,"2011-10-04",ME00771552,6471188.52,669051.91,"104039305","Huvialakooli õppehoone","kasutusel",141.0,"","","Tartu maakond, Mäksa vald, Kaagvere küla, Mõisakoha/2"
KL42573H3,true,"2011-10-04",ME01690877,6471197.69,669037.53,"120567356","Huvialakooli õppehoone","kasutusel",27.0,"","","Tartu maakond, Mäksa vald, Kaagvere küla, Mõisakoha"
KL42573H4,true,"2011-10-04",ME02063589,6471157.7,669037.8,"120606839","Huvialakooli õppehoone","kasutusel",150.0,"","","Tartu maakond, Mäksa vald, Kaagvere küla, Kaveri"
KL42591H2,true,"2014-04-17",EE03163423,6462704.45,648660.33,"120650501","Põhikooli või gümnaasiumi õppehoonehoone","kasutusel",5555.5,"C","2012-02-20","Tartu maakond, Nõo vald, Nõo alevik, K. Aigro tn 5"
KL42613H1,true,"2011-10-04",ME01747524,6562705.92,625343.97,"108015422","Mineraalväetiste või taimekaitsevahendite hoidla","kasutusel",695.9,"","","Lääne-Viru maakond, Tamsalu vald, Porkuni küla, Ilumäe tee 6"
KL42613H2,true,"2011-10-04",EE02187458,6562645.19,625235.93,"120582615","Põhikooli või gümnaasiumi õppehoonehoone","kasutusel",5850.7,"E","","Lääne-Viru maakond, Tamsalu vald, Porkuni küla, Ilumäe tee 6"
KL42616H2,true,"2011-10-04",EE00765411,6451278.38,655091.1,"104032452","Põhikooli või gümnaasiumi õppehoonehoone","kasutusel",3510.4,"C","2008-07-04","Tartu maakond, Kambja vald, Kammeri küla, Kooli"
KL42616H3,true,"2011-10-04",ME01128137,6451227.49,655181.7,"120559687","Muu haridus- või teadushoone, nagu näiteks labor, õppetöökoda, ilmajaam ja observatoorium","kasutusel",560.6,"C","2008-07-04","Tartu maakond, Kambja vald, Kammeri küla, Kooli/1"
KL42616H4,true,"2011-10-04",ME01128142,6451176.49,655105.97,"120559688","Spordihall, võimla (kohtadega pealtvaatajatele)","kasutusel",951.0,"C","2008-07-04","Tartu maakond, Kambja vald, Kammeri küla, Kooli/2"
KL42617H1,true,"2011-10-04",ME01122888,6470421.34,434477.63,"120556597","Põhikooli või gümnaasiumi õppehoonehoone","kasutusel",3279.2,"C","","Saare maakond, Valjala vald, Kallemäe küla, Koolimaja"
KL42623H1,true,"2011-10-04",EE00790600,6533432.67,476327.15,"105010224","Kutseõppeasutuse õppehoone","kasutusel",4840.7,"C","","Lääne maakond, Ridala vald, Uuemõisa alevik, Tennise tn 10"
KL42648H1,true,"2011-10-05",ME00799577,6457882.93,410651.95,"106004278","Põhikooli või gümnaasiumi õppehoonehoone","kasutusel",578.7,"D","2013-12-12","Saare maakond, Kuressaare linn, Suur-Põllu tn 4"
KL42782H2,true,"2012-01-20",ME01161638,6589141.26,543093.68,"120267803","Büroohoone","kasutusel",11156.7,"F","2013-02-10","Harju maakond, Tallinn, Kesklinna linnaosa, Narva mnt 7a"
KL42898H4,true,"2011-12-12",ME01928602,6559565.02,520871.26,"120564881","Administratiivhoone","ehitusluba antud",2176.9,"","","Harju maakond, Kernu vald, Hingu küla, Rallipargi"
KL42902H1,true,"2011-10-25",ME00646671,6588268.58,542036.25,"101028632","Büroohoone","kasutusel",439.7,"H","2010-01-04","Harju maakond, Tallinn, Kesklinna linnaosa, Tõnismägi 8"
KL42909H1,true,"2011-11-18",ME00653531,6588266.62,542077.1,"101036789","Administratiivhoone","kasutusel",3051.8,"H","2010-01-04","Harju maakond, Tallinn, Kesklinna linnaosa, Tõnismägi 5a"
KL42914H1,true,"2012-02-20",ME00815418,6556163.22,628866.47,"108025445","Büroohoone","kasutusel",218.9,"","","Lääne-Viru maakond, Väike-Maarja vald, Väike-Maarja alevik, Ehitajate tee 4"
KL42918H1,true,"2012-02-20",EE00668012,6581553.49,695147.69,"102011439","Muu kolme või enama korteriga elamu","kasutusel",3342.6,"","","Ida-Viru maakond, Kohtla-Järve linn, Ahtme linnaosa, Estonia pst 38"
KL43144H1,true,"2012-04-26",ME01644212,6583825.66,668728.83,"102007947","Büroohoone","kasutusel",332.2,"","","Ida-Viru maakond, Kiviõli linn, Vabaduse pst 16"
KL43474H1,true,"2011-11-18",ME00655165,6587922.76,544337.59,"101038606","Administratiivhoone","kasutusel",3554.7,"F","2010-01-04","Harju maakond, Tallinn, Lasnamäe linnaosa, Tartu mnt 85"
KL43482H1,true,"2011-11-21",ME00776981,6473836.21,659464.89,"104045147","Kohtuhoone","kasutusel",9784.0,"E","2010-12-22","Tartu maakond, Tartu linn, Kalevi tn 1"
KL43486H1,true,"2011-11-21",ME00776981,6473836.21,659464.89,"104045147","Kohtuhoone","kasutusel",9784.0,"E","2010-12-22","Tartu maakond, Tartu linn, Kalevi tn 1"
KL43500H1,true,"2011-11-21",ME01684978,6588051.26,542657.29,"120220193","Kohtuhoone","kasutusel",6483.0,"E","2010-01-04","Harju maakond, Tallinn, Kesklinna linnaosa, Liivalaia tn 24"
KL43514H1,true,"2011-11-21",ME00655165,6587922.76,544337.59,"101038606","Administratiivhoone","kasutusel",3554.7,"F","2010-01-04","Harju maakond, Tallinn, Lasnamäe linnaosa, Tartu mnt 85"
KL43516H2,true,"2011-11-22",ME00655166,6587881.94,544340.72,"101038607","Administratiivhoone","kasutusel",1270.2,"G","2010-01-04","Harju maakond, Tallinn, Lasnamäe linnaosa, Tartu mnt 85"
